Nummero Accident;Categorie de route;Nom de la route
202200001576;Voie Communales;BOULEVARD BEAUMARCHAIS
202200001577;Voie Communales;RUE PIERRE CHARRON
202200001578;Voie Communales;LAFAYETTE (R)
202200001579; Route Départementale;JEAN JAURES (R)
202200001580;Voie Communales;RUE ROYALE
202200001581; Route Départementale;PARIS (R DE)
202200001582;Voie Communales;EDOUARD-VAILLANT(RUE)
202200001583;Voie Communales;RUE MORNAY
202200001584; Route Départementale;EDOUARD VAILLANT DU 2/38.
202200001585;Parc de stationnement ouvert à la circulation publique;AMBROISE PARE (RUE)
202200001586;Voie Communales;RUE CHAPON
202200001587; Route Départementale;907
202200001588;Voie Communales;
202200001589; Route Départementale;STALINGRAD (BD DE)
202200001590;Voie Communales;
202200001591; Route Départementale;907
202200001592; Route Départementale;2085
202200001593; Route Départementale;84
202200001594; Route Départementale;BAC (AV DU)
202200001595; Route Départementale;180
202200001596; Route Départementale;429
202200001597;Voie Communales;
202200001598; Route Départementale;3
202200001599; Route Départementale;CONVENTION (AV DE LA)
202200001600; Route Départementale;AV PAUL VAILLANT COUTURIER
202200001601; Route Départementale;430
202200001602; Route Départementale;79
202200001603;Voie Communales;BERRY (R DU)
202200001604; Route Départementale;176
202200001605; Route Départementale;MAURICE THOREZ (AV)
202200001606; Route Départementale;DE GAULLE (AV DU GENERAL) 58/49 - FIN
202200001607;Voie Communales;
202200001608;Voie Communales;RESISTANCE (PLACE)
202200001609; Route Départementale;
202200001610; Route Départementale;RD11
202200001611; Route Départementale;WINSTON CHURCHILL AVENUE
202200001612;Route nationale;57
202200001613; Route Départementale;SAINT LEU (ROUTE)
202200001614; Route Départementale;209
202200001615;Voie Communales;QUATORZE-JUILLET (AV. DU)
202200001616; Route Départementale;751
202200001617; Route Départementale;DIVISION LECLERC (AVENUE DE LA) A20
202200001618;Voie Communales;151
202200001619;Voie Communales;MULIN RUE HIPPOLYTE
202200001620; Route Départementale;D765
202200001621; Route Départementale;906
202200001622;Voie Communales;
202200001623; Route Départementale;518
202200001624;Voie Communales;
202200001625;Voie Communales;VERRIER (AV)
202200001626; Route Départementale;56
202200001627;Voie Communales;
202200001628; Route Départementale;74
202200001629; Route Départementale;
202200001630; Route Départementale;59
202200001631; Route Départementale;11
202200001632; Route Départementale;
202200001633; Route Départementale;98
202200001634; Route Départementale;28
202200001635;Routes de métropole urbaine;959
202200001636;Autoroute;A4
202200001637; Route Départementale;41
202200001638;autre;D23
202200001639;Route nationale;157
202200001640;Voie Communales;
202200001641;Autoroute;4
202200001642;Autoroute;10
202200001643; Route Départementale;337
202200001644; Route Départementale;14
202200001645;Route nationale;1
202200001646; Route Départementale;101
202200001647; Route Départementale;15
202200001648; Route Départementale;671
202200001649; Route Départementale;16
202200001650;Voie Communales;
202200001651; Route Départementale;D93
202200001652; Route Départementale;993
202200001653; Route Départementale;572
202200001654;Voie Communales;
202200001655;Voie Communales;
202200001656;Voie Communales;
202200001657; Route Départementale;110
202200001658; Route Départementale;463
202200001659; Route Départementale;199
202200001660;Voie Communales;
202200001661; Route Départementale;191
202200001662;autre;
202200001663; Route Départementale;903
202200001664; Route Départementale;98
202200001665;Autoroute;71
202200001666;Autoroute;4
202200001667;Voie Communales;
202200001668;Voie Communales;.
202200001669; Route Départementale;538
202200001670;Autoroute;1
202200001671;Voie Communales;
202200001672;Routes de métropole urbaine;NC
202200001673;Route nationale;7
202200001674;Voie Communales;
202200001675;Route nationale;124
202200001676; Route Départementale;Rd 23
202200001677; Route Départementale;813
202200001678;Route nationale;36
202200001679;Route nationale;89
202200001680;Routes de métropole urbaine;10
202200001681; Route Départementale;242
202200001682; Route Départementale;RD475
202200001683; Route Départementale;36
202200001684; Route Départementale;69
202200001685; Route Départementale;2422
202200001686; Route Départementale;768
202200001687; Route Départementale;1203
202200001688; Route Départementale;606
202200001689; Route Départementale;
202200001690;Route nationale;90
202200001691;Routes de métropole urbaine;M945
202200001692; Route Départementale;946
202200001693; Route Départementale;120
202200001694;Route nationale;85
202200001695;Voie Communales;
202200001696;Routes de métropole urbaine;655
202200001697; Route Départementale;61
202200001698;Autoroute;A507 sens Marseille - Aubagne
202200001699;Autoroute;A7-Sens Lyon vers Marseille
202200001700; Route Départementale;651
202200001701;Autoroute;A507 sens Marseille - Aubagne
202200001702;Route nationale;ROUTE NATIONALE 356
202200001703;Voie Communales;
202200001704;Autoroute;AUTOROUTE A23
202200001705;Voie Communales;
202200001706; Route Départementale;CAMBUSTON (rue de)
202200001707;Autoroute;A50-Sens Marseille vers Aubagne
202200001708;Autoroute;AUTOROUTE A6
202200001709;Autoroute;AUTOROUTE A126
202200001710;Autoroute;A7-Sens Marseille vers Lyon
202200001711;Route nationale;N12W
202200001712;Route nationale;PERMILHAC
202200001713;Autoroute;A51-Sens Aix en Provence vers Marseille
202200001714;Autoroute;A13
202200001715; Route Départementale;137
202200001716;Route nationale;RN12 EXT
202200001717;Routes de métropole urbaine;35
202200001718; Route Départementale;SPORTS (AVENUE DES)
202200001719;Autoroute;AUTOROUTE A25
202200001720;Autoroute;AUTOROUTE A6B
202200001721;Autoroute;86
202200001722; Route Départementale;ISLE D'ABEAU (ROUTE DE)
202200001723; Route Départementale;RD 444
202200001724;Autoroute;AUTOROUTE A86
202200001725; Route Départementale;212
202200001726;Autoroute;86
202200001727;Autoroute;A4
202200001728;Autoroute;86
202200001729; Route Départementale;590
202200001730;Autoroute;AUTOROUTE A3
202200001731;Autoroute;A4
202200001732; Route Départementale;GEORGES POMPIDOU (RUE)
202200001733;Autoroute;AUTOROUTE A86
202200001734;Autoroute;A4
202200001735;Autoroute;A86 INT
202200001736;Autoroute;A13Y
202200001737;Autoroute;A4
202200001738;Autoroute;A4
202200001739;Route nationale;YSER (AVENUE DE L')
202200001740;Voie Communales;CATAYEE (JUSTIN)
202200001741; Route Départementale;ST JEAN ( ROUTE DE )
202200001742;Route nationale;7
202200001743;Voie Communales;MAILLARD DUMESLE
202200001744;Voie Communales;AVENUE RAYMOND POINCARE
202200001745; Route Départementale;524
202200001746;Voie Communales;PAUL BERT                           (R )
202200001747;Voie Communales;LECLERC                             (AV)
202200001748; Route Départementale;ROUTE NATIONALE 3
202200001749;Voie Communales;YVES FARGES                         (BD)
202200001750;Voie Communales;BALME (DE LA)                       (R )
202200001751; Route Départementale;61
202200001752;Voie Communales;UNIVERSITE (DE L')                  (R )
202200001753;Route nationale;ROUTE NATIONALE 6
202200001754;Voie Communales;AUGUSTIN FRESNEL
202200001755;Voie Communales;FELIX FAURE                         (AV)
202200001756;Voie Communales;POSTE COLON (VOIE COMMUNALE DE)
202200001757; Route Départementale;
202200001758;Voie Communales;MARIUS VIVIER MERLE                 (BD)
202200001759;Voie Communales;
202200001760;Voie Communales;
202200001761;Routes de métropole urbaine;VINGT CINQUIEME R.T.S.              (AV)
202200001762; Route Départementale;15
202200001763; Route Départementale;PIERRE SEMARD (AVENUE)
202200001764;Route nationale;HIBISCUS
202200001765;Voie Communales;ARRIVEE (RUE DE L')
202200001766;Route nationale;BAS DU FORT
202200001767;Voie Communales;ROMAGNY (RUE DE)
202200001768;Route nationale;MORETTI ANGE RUE
202200001769; Route Départementale;THONON (ROUTE DE)
202200001770;Route nationale;AV FRANCOIS MITTERRAND
202200001771; Route Départementale;RUE PABLO PICASSO
202200001772;Voie Communales;RUE DE LA STATION PONSARD
202200001773;Voie Communales;
202200001774;Voie Communales;LA BARRE (RUE DE)
202200001775; Route Départementale;53
202200001776;Route nationale;PONT NEUF
202200001777;Voie Communales;BRUXELLES (RUE DE)
202200001778; Route Départementale;1
202200001779;Voie Communales;JUIN (RUE DU MARECHAL)
202200001780;Voie Communales;CASSEAUX (AVE DES) (VC)
202200001781; Route Départementale;27
202200001782;Autoroute;ROCADE A 630
202200001783;Voie Communales;8 MAI 1945 (AVENUE DU)
202200001784; Route Départementale;VINCENDERIE (RUE DE LA)
202200001785; Route Départementale;82
202200001786;Autoroute;A41
202200001787;Voie Communales;
202200001788; Route Départementale;RN1029
202200001789;Voie Communales;TOURACHE (CHEMIN DE LA)
202200001790; Route Départementale;VICTORIA (AVENUE ET TRAVERSE)
202200001791;Voie Communales;GEORGES MATIFAS (RUE)
202200001792; Route Départementale;13
202200001793;Voie Communales;TURIN (RTE DE)
202200001794;Voie Communales;MARCHAND (AVE COMMANDANT)
202200001795;Voie Communales;JULES BARNI (RUE)
202200001796;Voie Communales;
202200001797;Routes de métropole urbaine;BELLAVISTA (AVENUE)
202200001798;Routes de métropole urbaine;GORGES (ROUTE DES)
202200001799; Route Départementale;34
202200001800;Voie Communales;LEON BLUM (RUE)
202200001801;Voie Communales;
202200001802; Route Départementale;24
202200001803;Voie Communales;AVENUE DE VIGNATE
202200001804; Route Départementale;THOMAS (AV ALBERT)
202200001805; Route Départementale;45
202200001806;Voie Communales;RUE CONDILLAC
202200001807;Voie Communales;RUE DU PRÉ RUFFIER
202200001808;Routes de métropole urbaine;COURS JEAN JAURÈS
202200001809;Route nationale;91
202200001810;Autoroute;63
202200001811; Route Départementale;MARIE CURIE  (AVENUE)
202200001812;Route nationale;3
202200001813;Routes de métropole urbaine;M6   449.510 A 451.640
202200001814;Voie Communales;5
202200001815; Route Départementale;RD607 de Barbizon à pavé du roi
202200001816;Route nationale;11 - RT
202200001817; Route Départementale;12
202200001818; Route Départementale;1
202200001819; Route Départementale;992
202200001820;Voie Communales;
202200001821; Route Départementale;RD607 de Barbizon à pavé du roi
202200001822; Route Départementale;7
202200001823; Route Départementale;9
202200001824; Route Départementale;JEAN LOLIVE (AVENUE)(1/55 2/60)
202200001825;autre;
202200001826; Route Départementale;68
202200001827;Voie Communales;MONTBILLARD (RUE DU)
202200001828;Voie Communales;WILSON BD
202200001829;Voie Communales;JOSEPH MADEC
202200001830; Route Départementale;496
202200001831;Routes de métropole urbaine;Autoroute A.35
202200001832;Voie Communales;SAINTE ADRESSE (DE)
202200001833; Route Départementale;1075
202200001834; Route Départementale;GENEVE (AVENUE DE)(SECTEUR 410)
202200001835;Voie Communales;AH AH (RUE DE)
202200001836; Route Départementale;TANINGES (ROUTE DE )
202200001837; Route Départementale;19
202200001838;Autoroute;411
202200001839;Voie Communales;JEAN CLAUDE VIVANT     (Rue)
202200001840; Route Départementale;SAINT-JULIEN (ROUTE DE)
202200001841;Routes de métropole urbaine;GENERAL DE GAULLE (ROUTE DU)
202200001842; Route Départementale;625
202200001843; Route Départementale;20
202200001844;Voie Communales;Rue Albert de Mun
202200001845;Voie Communales;ABBE LEMIRE (RUE DE L )
202200001846;Voie Communales;CANAL (BOULEVARD DU)
202200001847;Routes de métropole urbaine;6015
202200001848;Voie Communales;FORET NOIRE (AVENUE DE LA)
202200001849; Route Départementale;D1201
202200001850; Route Départementale;1017
202200001851;Voie Communales;RAMOND (RUE)
202200001852;Route nationale;205
202200001853; Route Départementale;2
202200001854;Voie Communales;ALFRED NOBEL
202200001855;Voie Communales;
202200001856; Route Départementale;94
202200001857; Route Départementale;CD 58
202200001858; Route Départementale;133
202200001859;Voie Communales;ROLLAND (RUE ROMAIN)
202200001860; Route Départementale;09
202200001861;Voie Communales;GUESDE (RUE JULES)
202200001862; Route Départementale;12
202200001863;Voie Communales;ROMAINS (ROUTE DES)
202200001864;Routes de métropole urbaine;REPUBLIQUE AVENUE DE LA
202200001865; Route Départementale;9
202200001866;Voie Communales;PANCHOT (AVENUE JULIEN)
202200001867;Voie Communales;EISENHOWER (AVENUE DU GENERAL)
202200001868;autre;DIX NEUF MARS 62 (SQUARE)
202200001869;Autoroute;1
202200001870;Voie Communales;
202200001871;Voie Communales;DENT D'OCHE (RUE DE LA)
202200001872; Route Départementale;913
202200001873; Route Départementale;Départementale  617
202200001874;Autoroute;A7-Sens Marseille vers Lyon
202200001875;Voie Communales;BREBANT (AVENUE) DU 1 A 86
202200001876; Route Départementale;QUATORZE AVRIL (AVENUE DU)
202200001877;Route nationale;RN88
202200001878;Autoroute;A507 sens Aubagne- Marseille
202200001879;Voie Communales;GRANDS RAGOTINS (CHEMIN DES)
202200001880;Routes de métropole urbaine;RD383   3.750 A 7.640
202200001881;Routes de métropole urbaine;
202200001882;Voie Communales;ADOUR (AVENUE DE L')
202200001883;Voie Communales;BOULEVARD MARCEL PAUL
202200001884;Route nationale;RN 118
202200001885;Voie Communales;
202200001886;Voie Communales;PLACE OCEANE
202200001887;Autoroute;AUTOROUTE A6
202200001888;Voie Communales;BIARRITZ (AVENUE DE)
202200001889; Route Départementale;6
202200001890;Voie Communales;PRESLE (RUE DE LA)
202200001891;Autoroute;A12 Y
202200001892; Route Départementale;CD 943
202200001893;Voie Communales;CHATEAU GAILLARD     (Rue de)
202200001894;Route nationale;ROCADE 16-17
202200001895;Route nationale;RN12 INT
202200001896;Voie Communales;DOUAI (AVENUE DE)
202200001897; Route Départementale;27.1
202200001898;Routes de métropole urbaine;ALLIES (BOULEVARD DES)
202200001899; Route Départementale;KERMELO (PONT)
202200001900;Route nationale;315 W
202200001901; Route Départementale;400
202200001902; Route Départementale;GUIRAUDETTE (K13 A V10
202200001903;Voie Communales;FOCH (RUE  MARECHAL )
202200001904;Autoroute;A13Y
202200001905;Autoroute;VA007493 LES IZARDS A62 Sortie 12
202200001906;Voie Communales;
202200001907;Voie Communales;NICE (RUE DE)
202200001908; Route Départementale;ROUTE DE LA SERRE DE CAZAUX
202200001909;Voie Communales;LOUVOIS (RUE DE) DU N°140 A FIN ET DU N°
202200001910;Voie Communales;JAURES JEAN (DE 105 A 235 ET 110 A 236)
202200001911;Autoroute;AUTOROUTE A3
202200001912;Voie Communales;BOLHEN   (DE)                        (AV
202200001913;Voie Communales;LECLERC (AV. DU GENERAL)
202200001914;Voie Communales;FOCH MARECHAL
202200001915;Autoroute;AUTOROUTE A15
202200001916;Voie Communales;
202200001917;Voie Communales;ROSES   RUE DES
202200001918;Voie Communales;MICHEL SERVET                       (R )
202200001919;Voie Communales;SAINT-JEAN BAPTISTE DE LA SALLE
202200001920;Autoroute;A4
202200001921;Autoroute;A64 - BORDELONGUE
202200001922;Voie Communales;
202200001923; Route Départementale;C D 27
202200001924;Route nationale;N186
202200001925;Voie Communales;
202200001926; Route Départementale;BECQUEREL (BOULEVARD HENRI)
202200001927; Route Départementale;THIZY  RUE DE
202200001928;Route nationale;RN 154
202200001929;Voie Communales;GAY LUSSAC (RUE)
202200001930;Voie Communales;BLANC  LOUIS  BD
202200001931;Route nationale;Route Nationale 814
202200001932;Voie Communales;LAMY (RUE THEOPHILE)
202200001933;Voie Communales;GUILLOU (BOULEVARD YVES)
202200001934;Voie Communales;MONTAGNE (RUE DE LA)
202200001935; Route Départementale;514
202200001936; Route Départementale;PONTEAU ROUTE DE
202200001937;Voie Communales;ALVITRE (AVENUE ABBE)
202200001938;Voie Communales;LÉON GAMBETTA (ALLEE)
202200001939;Voie Communales;BOULEVARD DE ROCHECHOUART
202200001940;Route nationale;RN02
202200001941;Voie Communales;24 AVRIL 15 (AVENUE DU)
202200001942; Route Départementale;ALSACE LORRAINE (AVENUE) A PARTIR DE N°
202200001943;Voie Communales;
202200001944; Route Départementale;SERPOLET (AVENUE DU)
202200001945;Route nationale;ANCIENNE RN 1
202200001946;Voie Communales;JOFFRE   BOULEVARD (79 et 18)
202200001947;Voie Communales;FOCH (COURS MARECHAL)
202200001948;Route nationale;LITTORAL (ROUTE 1 DU)
202200001949;Route nationale;RTE N113 MARSEILLE A BORBEAUX
202200001950;Voie Communales;ILES (AVENUE DES)(SECTEUR 410)
202200001951;Voie Communales;DEBOURG                             (AV)
202200001952;Voie Communales;MITTERRAND (AVENUE FRANCOIS)
202200001953; Route Départementale;105
202200001954;Routes de métropole urbaine;
202200001955;Voie Communales;DEUX MONTAGNES AU QUEBEC (RUE)
202200001956;Voie Communales;STRASBOURG (BOULEVARD)
202200001957;Autoroute;Bretelle sortie A1
202200001958;Voie Communales;PORTE DE GENTILLY
202200001959; Route Départementale;675
202200001960; Route Départementale;ROUTE DEPARTEMENTALE 3
202200001961;Voie Communales;FLORISSANT (AVENUE)
202200001962;Voie Communales;PAGNOL MARCEL (AV)
202200001963; Route Départementale;473
202200001964;Voie Communales;GENEVE (RUE DE)
202200001965;Voie Communales;PORTE MAILLOT
202200001966; Route Départementale;RD 6009 NARBONNE - BEZIERS
202200001967; Route Départementale;RD 41 (ROCADE)
202200001968; Route Départementale;432
202200001969;Voie Communales;PORTE D ITALIE
202200001970;Voie Communales;FAUCIGNY (RUE DU)
202200001971;Voie Communales;POMPIDOU DE 1 A 111 (RUE GEORGES)
202200001972;Voie Communales;JULES COURMONT                      (QU)
202200001973; Route Départementale;432
202200001974;Voie Communales;RUE DE BELLEVILLE
202200001975;Voie Communales;ROMAIN ROLLAND                      (QU)
202200001976;Voie Communales;PORTE DE CHARENTON
202200001977;Voie Communales;
202200001978;Voie Communales;JEAN JAURES
202200001979;Voie Communales;QUAI SAINT BERNARD
202200001980; Route Départementale;256
202200001981;Voie Communales;QUAI D IVRY
202200001982;Voie Communales;CROIX-ROUSSE (DE LA)                (BD)
202200001983;Voie Communales;CITEE
202200001984; Route Départementale;467
202200001985;Voie Communales;RUE PETITOT
202200001986;Voie Communales;AVENUE GAMBETTA
202200001987; Route Départementale;67
202200001988;Route nationale;11 - RT
202200001989;Voie Communales;AVENUE DE LA PORTE DES LILAS
202200001990; Route Départementale;OUEST (BOULEVARD)
202200001991; Route Départementale;242
202200001992;Voie Communales;RUE MANIN
202200001993; Route Départementale;BOLOGNE (ROUTE DE)
202200001994;Voie Communales;ROUTE DE CEINTURE DU LAC DAUMESNIL
202200001995; Route Départementale;50
202200001996;Voie Communales;RUE LOUISE THULIEZ
202200001997;Voie Communales;
202200001998;Voie Communales;CAMPI LOUIS BD
202200001999;Voie Communales;
202200002000;Voie Communales;RUE LA BOETIE
202200002001;Voie Communales;
202200002002;Voie Communales;BOULEVARD DE LA VILLETTE
202200002003; Route Départementale;178
202200002004;Voie Communales;BOULEVARD HAUSSMANN
202200002005;Voie Communales;RUE DE VAUGIRARD
202200002006; Route Départementale;2
202200002007;Voie Communales;GENAS    (Route de)
202200002008;Voie Communales;AVENUE DE FRIEDLAND
202200002009;Voie Communales;RTE DE LEUVILLE
202200002010;Voie Communales;BOULEVARD BRUNE
202200002011; Route Départementale;163
202200002012;Voie Communales;RUE SAINT DOMINIQUE
202200002013;Voie Communales;DARWIN
202200002014; Route Départementale;CROIX-FINOR (AVENUE)
202200002015;Voie Communales;BOULEVARD AUGUSTE BLANQUI
202200002016; Route Départementale;43
202200002017;Voie Communales;QUAI VOLTAIRE
202200002018;Voie Communales;MISTRAL AVENUE FREDERIC
202200002019;Voie Communales;PLACE DE LA BASTILLE
202200002020;Voie Communales;QUAI ANATOLE FRANCE
202200002021; Route Départementale;973
202200002022;Route nationale;118
202200002023;Voie Communales;PLACE DE LA BASTILLE
202200002024;Voie Communales;TOULON (VIEUX CHEMIN DE)
202200002025; Route Départementale;1
202200002026;Voie Communales;RUE DES ROSIERS
202200002027;Voie Communales;RUE DE CHARONNE
202200002028; Route Départementale;81
202200002029; Route Départementale;CD 28
202200002030;Voie Communales;
202200002031; Route Départementale;934
202200002032;Voie Communales;PLACE LEON BLUM
202200002033;Route nationale;RN 184
202200002034; Route Départementale;967
202200002035;Voie Communales;ROND POINT (DU)
202200002036;Voie Communales;BOULEVARD VOLTAIRE
202200002037; Route Départementale;2144
202200002038; Route Départementale;RD 1005
202200002039;Voie Communales;AVENUE MOZART
202200002040;Voie Communales;
202200002041; Route Départementale;
202200002042;Voie Communales;RUE DU FAUBOURG SAINT HONORE
202200002043;Voie Communales;RUE REAUMUR
202200002044;Voie Communales;BD DES ECOLES
202200002045;Voie Communales;992
202200002046;Voie Communales;RUE DES SAUSSAIES
202200002047;Voie Communales;MACHERET  (RUE   )
202200002048; Route Départementale;28
202200002049;Voie Communales;QUAI D ORSAY
202200002050;Voie Communales;AVENUE DE L OPERA
202200002051; Route Départementale;GENERAL LECLERC (BOULEVARD)
202200002052; Route Départementale;120
202200002053;Voie Communales;PAUL HOCHART (R)
202200002054;Voie Communales;RUE DE TURBIGO
202200002055;Routes de métropole urbaine;LECLERC. AVENUE DU MARECHAL (CD 3)
202200002056; Route Départementale;FRANKLIN ROOSEVELT (AV)
202200002057;Route nationale;57
202200002058;Voie Communales;GAGNEE (R)
202200002059; Route Départementale;
202200002060;Voie Communales;RABELAIS (AV)
202200002061; Route Départementale;
202200002062;Voie Communales;CHAMP DE MARS (AVENUE DU)
202200002063; Route Départementale;JEAN JAURES (R)
202200002064; Route Départementale;23
202200002065;Voie Communales;EMILE ZOLA     (Cours)
202200002066; Route Départementale;GENERAL DE GAULLE (AV DU)
202200002067; Route Départementale;REPUBLIQUE (QU DE LA)
202200002068; Route Départementale;985
202200002069; Route Départementale;1504
202200002070; Route Départementale;BALLANGER (BD ROBERT)
202200002071; Route Départementale;40
202200002072; Route Départementale;EUROPE L'  AV DE
202200002073; Route Départementale;BALLANGER (BD ROBERT)
202200002074; Route Départementale;REPUBLIQUE (QU DE LA)
202200002075;Routes de métropole urbaine;
202200002076; Route Départementale;WESTINGHOUSE (BOULEVARD)
202200002077; Route Départementale;JULES AUFFRET (1/49 ET 2/54)
202200002078;Routes de métropole urbaine;LOUIS MOUILLARD                     (R )
202200002079;Autoroute;A47
202200002080; Route Départementale;RD 32
202200002081; Route Départementale;JEAN LOLIVE (AVENUE)(75/105.88/106)
202200002082;Routes de métropole urbaine;AMBROISE CROIZAT                    (BD)
202200002083; Route Départementale;CITE MARCEL PAUL
202200002084; Route Départementale;11
202200002085;Route nationale;MILLE CLEMENT (avenue)
202200002086; Route Départementale;942
202200002087;Voie Communales;PETITS PONTS (ROUTE DES)
202200002088; Route Départementale;ROSNY (AVENUE DE)
202200002089;Routes de métropole urbaine;SEMARD (PIERRE) ( R )
202200002090;Voie Communales;C.De GAULLE (Rocade)
202200002091; Route Départementale;PARIS (RUE DE)
202200002092; Route Départementale;
202200002093; Route Départementale;REPUBLIQUE (AVE DE LA ) => NO 41/50
202200002094; Route Départementale;23
202200002095;Voie Communales;
202200002096; Route Départementale;HENRI BARBUSSE (RUE) => 95/102
202200002097; Route Départementale;PAUL ET CAMILLE THOMOUX (RUE) COTE IMPAI
202200002098;Route nationale;BASSEE (RTE DE LA)
202200002099; Route Départementale;92
202200002100;Voie Communales;
202200002101;Routes de métropole urbaine;ALFRED KASTLER (ROUTE)
202200002102; Route Départementale;RD26
202200002103; Route Départementale;ALLENDE (AVENUE SALVADOR)
202200002104; Route Départementale;39
202200002105; Route Départementale;CLEMENCEAU (AV GEORGES)
202200002106; Route Départementale;26
202200002107; Route Départementale;JEAN JAURES (AVENUE)
202200002108;Voie Communales;FABRIQUE (RUE DE LA)
202200002109; Route Départementale;2
202200002110;Voie Communales;
202200002111;Voie Communales;LAUNAY BRETON (AVENUE)
202200002112;Voie Communales;FAIENCERIE(Rond Point de la)
202200002113; Route Départementale;906
202200002114; Route Départementale;1006
202200002115;Autoroute;40
202200002116;Voie Communales;MOUTIER (RUE DU)  => 15/36
202200002117; Route Départementale;10
202200002118; Route Départementale;RD 227
202200002119; Route Départementale;9B
202200002120;Parc de stationnement ouvert à la circulation publique;JEAN MERMOZ   (PLACE)
202200002121;Voie Communales;
202200002122; Route Départementale;308
202200002123;Voie Communales;
202200002124; Route Départementale;RESISTANTS ( RUE DES )
202200002125;Voie Communales;ABRAHAM DUQUESNE (RUE)
202200002126; Route Départementale;48
202200002127; Route Départementale;109
202200002128;Voie Communales;
202200002129;Voie Communales;DELESPAUL (RUE)
202200002130; Route Départementale;908
202200002131; Route Départementale;740
202200002132; Route Départementale;106
202200002133;Routes de métropole urbaine;COUTURE RUE DE LA
202200002134;Voie Communales;
202200002135; Route Départementale;1203
202200002136; Route Départementale;992
202200002137;Route nationale;141
202200002138;Voie Communales;VAUBAN BOULEVARD N°2-18-1-39
202200002139; Route Départementale;ZONE (ROUTE DE)
202200002140; Route Départementale;2
202200002141; Route Départementale;926
202200002142; Route Départementale;911
202200002143; Route Départementale;205
202200002144; Route Départementale;901
202200002145;Voie Communales;JAURES JEAN AVENUE.
202200002146;Voie Communales;AMOUREUX (RUE DES)
202200002147; Route Départementale;911
202200002148; Route Départementale;971
202200002149;Voie Communales;
202200002150;Voie Communales;110
202200002151;Routes de métropole urbaine;DUNKERQUE AVENUE DE
202200002152; Route Départementale;26
202200002153; Route Départementale;1201
202200002154;Voie Communales;MOURINOUX ( RUE DES )
202200002155;Voie Communales;
202200002156; Route Départementale;912
202200002157;Voie Communales;JACQUET EUGENE RUE N°PAIRS
202200002158; Route Départementale;119
202200002159;Routes de métropole urbaine;36
202200002160;Voie Communales;BRIAND (RUE ARISITIDE)
202200002161; Route Départementale;946
202200002162;Voie Communales;MARCHAL (QUAI)
202200002163;Voie Communales;BARON DE LOE (RUE DU)
202200002164;Route nationale;202
202200002165;Voie Communales;
202200002166; Route Départementale;5
202200002167;Parc de stationnement ouvert à la circulation publique;
202200002168;Voie Communales;GAULLE (AV GAL DE)
202200002169; Route Départementale;907
202200002170; Route Départementale;4
202200002171; Route Départementale;88
202200002172; Route Départementale;801
202200002173; Route Départementale;VERDUN (CHEMIN DE)
202200002174;Voie Communales;JUDE(RUE DU CAPITAINE)
202200002175;Voie Communales;
202200002176; Route Départementale;2
202200002177;Voie Communales;RUE EMILE ZOLA
202200002178; Route Départementale;89
202200002179;Voie Communales;
202200002180; Route Départementale;38
202200002181; Route Départementale;12
202200002182;Voie Communales;xxxx
202200002183;Route nationale;11
202200002184;Voie Communales;POINCARE (RUE RAYMOND 1-29-2-30)
202200002185;Voie Communales;2
202200002186;Voie Communales;GRENETTE                            (R )
202200002187; Route Départementale;939
202200002188; Route Départementale;228E3
202200002189; Route Départementale;D26
202200002190; Route Départementale;D942
202200002191;Voie Communales;ORBAIS (RUE JEAN D')
202200002192; Route Départementale;2
202200002193;Voie Communales;695
202200002194; Route Départementale;704
202200002195; Route Départementale;66
202200002196;Route nationale;RN 44
202200002197;Route nationale;RN3
202200002198; Route Départementale;6110
202200002199; Route Départementale;112
202200002200; Route Départementale;12
202200002201; Route Départementale;
202200002202; Route Départementale;11
202200002203; Route Départementale;654
202200002204; Route Départementale;981
202200002205;Voie Communales;SAUMUROISE IMPASSE ET RUE
202200002206; Route Départementale;988
202200002207; Route Départementale;82
202200002208; Route Départementale;903
202200002209; Route Départementale;SANDILLON (ROUTE DE)
202200002210; Route Départementale;300
202200002211; Route Départementale;1203
202200002212;Route nationale;19
202200002213; Route Départementale;D21
202200002214; Route Départementale;VIEUX BOURG (RUE DU)
202200002215; Route Départementale;903
202200002216; Route Départementale;105
202200002217; Route Départementale;26
202200002218; Route Départementale;
202200002219; Route Départementale;18
202200002220; Route Départementale;12
202200002221;Voie Communales;DECOURT (RUE EMILE)
202200002222;Voie Communales;
202200002223;Voie Communales;
202200002224; Route Départementale;33
202200002225; Route Départementale;88 (ROUTE NATIONALE)
202200002226;Route nationale;1
202200002227; Route Départementale;GRAND PORT (JUSQU'A L'HOPITAL) AVENUE DU
202200002228;Voie Communales;CHATEAUDUN (AVENUE DE)
202200002229;Voie Communales;
202200002230;Autoroute;64
202200002231;Voie Communales;
202200002232;Voie Communales;MARINS (AV DES)
202200002233; Route Départementale;69
202200002234;Route nationale;1
202200002235; Route Départementale;936
202200002236;Voie Communales;MICHELET (BOULEVARD)
202200002237;Routes de métropole urbaine;19
202200002238;Voie Communales;BEAUMONT (DE)
202200002239;Autoroute;71
202200002240; Route Départementale;912
202200002241;Voie Communales;Léo (André)
202200002242; Route Départementale;514
202200002243; Route Départementale;949
202200002244;Autoroute;40
202200002245;Voie Communales;PALUDATE (QUAI DE)
202200002246; Route Départementale;50
202200002247; Route Départementale;181
