Nummero Accident;Categorie de route;Nom de la route
202200000157;Voie Communales;RUE RICHARD LENOIR
202200000158; Route Départementale;VIZENS (AVENUE DE)
202200000159;Voie Communales;CEDRES (RUE DES)
202200000160;Voie Communales;ERIC TABARLY
202200000161;Voie Communales;DELEBECQUE (R GERMAIN)
202200000162;Routes de métropole urbaine;LILLE RUE DE
202200000163;Voie Communales;DELESPAUL, Barthélémy, rue
202200000164;Voie Communales;POISSONNERIE
202200000165;Voie Communales;POMPIDOU (RUE GEORGES)
202200000166;Voie Communales;SABLES DE SARY (RUE DES)
202200000167;Voie Communales;GUIZAY (DU)
202200000168;Routes de métropole urbaine;JOSEPH VALLIER (BOULEVARD)
202200000169;Voie Communales;LOIRE (QUAI DE LA)
202200000170;Voie Communales;MARTY JEAN BAPTISTE (PROMENADE)
202200000171;Voie Communales;CRS DE VERDUN
202200000172;Voie Communales;GOSLAR (QUAI DE)
202200000173; Route Départementale;TOULOUSE (ROUTE DE)
202200000174;Autoroute;38 LE CHAPITRE (A64)
202200000175;Voie Communales;BOTTOLIER (RUE)
202200000176;Voie Communales;CORDELIERS  AVENUE DES
202200000177;Voie Communales;PADOVANI ( AVE )
202200000178;Voie Communales;LACANAU (AV DE )
202200000179;Voie Communales;BELSUNCE (COURS)
202200000180;Voie Communales;BRETEUIL (RUE)
202200000181; Route Départementale;MOULIN (RUE JEAN)
202200000182; Route Départementale;SAINT HILAIRE -ROUTE DE-
202200000183;Voie Communales;QUAI D IVRY
202200000184;Voie Communales;RUE DES PYRENEES
202200000185;Voie Communales;RUE BELGRAND
202200000186;Voie Communales;AVENUE THEOPHILE GAUTIER
202200000187;Voie Communales;BOULEVARD DIDEROT
202200000188;Voie Communales;RUE LA FAYETTE
202200000189;Voie Communales;BOULEVARD DES BATIGNOLLES
202200000190;Voie Communales;RUE ROQUEPINE
202200000191;Voie Communales;PLACE CHARLES DE GAULLE
202200000192;Voie Communales;RUE DU QUATRE SEPTEMBRE
202200000193;Voie Communales;RUE DU LOUVRE
202200000194; Route Départementale;FOCH (AV)
202200000195; Route Départementale;CARNOT (AV)
202200000196;Voie Communales;SAVAR.(RUE JULIETTE)
202200000197;Route nationale;HUIT MAI 1945 (AV DU)
202200000198; Route Départementale;WINSTON CHURCHILL AVENUE
202200000199;Voie Communales;FRUITIERS (AVENUE)
202200000200;Voie Communales;KLEBER (RUE)
